timestamp,pump,sensor,env,soil_moisture,watering_amount_ml
2025-03-01 05:00:00,1,1,INDOOR,3059,100
2025-03-01 05:00:00,2,2,INDOOR,3064,100
2025-03-01 06:00:00,1,1,INDOOR,1636,20
2025-03-01 06:00:00,2,2,INDOOR,1586,20
2025-03-01 07:00:00,1,1,INDOOR,1336,0
2025-03-01 07:00:00,2,2,INDOOR,1334,0
2025-03-01 08:00:00,1,1,INDOOR,1386,0
2025-03-01 08:00:00,2,2,INDOOR,1389,0
2025-03-01 09:00:00,1,1,INDOOR,1436,0
2025-03-01 09:00:00,2,2,INDOOR,1438,0
2025-03-01 10:00:00,1,1,INDOOR,1530,20
2025-03-01 10:00:00,2,2,INDOOR,1553,20
2025-03-01 11:00:00,1,1,INDOOR,1230,0
2025-03-01 11:00:00,2,2,INDOOR,1218,0
2025-03-01 12:00:00,2,2,INDOOR,1280,0
2025-03-01 12:00:00,1,1,INDOOR,1232,0
2025-03-01 13:00:00,2,2,INDOOR,1330,0
2025-03-01 13:00:00,1,1,INDOOR,1286,0
2025-03-01 14:00:00,2,2,INDOOR,1509,20
2025-03-01 14:00:00,1,1,INDOOR,1547,20
2025-03-01 15:00:00,2,2,INDOOR,1209,0
2025-03-01 15:00:00,1,1,INDOOR,1186,0
2025-03-01 16:00:00,2,2,INDOOR,1259,0
2025-03-01 16:00:00,1,1,INDOOR,1308,0
2025-03-01 17:00:00,2,2,INDOOR,1309,0
2025-03-01 17:00:00,1,1,INDOOR,1308,0
2025-03-02 05:00:00,2,2,INDOOR,2484,50
2025-03-02 05:00:00,1,1,INDOOR,2499,50
2025-03-02 06:00:00,2,2,INDOOR,1678,20
2025-03-02 06:00:00,1,1,INDOOR,1707,20
2025-03-02 07:00:00,2,2,INDOOR,1728,20
2025-03-02 07:00:00,1,1,INDOOR,1706,20
2025-03-02 08:00:00,1,1,INDOOR,1684,20
2025-03-02 08:00:00,2,2,INDOOR,1696,20
2025-03-02 09:00:00,2,2,INDOOR,1384,0
2025-03-02 09:00:00,1,1,INDOOR,1348,0
2025-03-02 10:00:00,2,2,INDOOR,1434,0
2025-03-02 10:00:00,1,1,INDOOR,1384,0
2025-03-02 11:00:00,2,2,INDOOR,1484,0
2025-03-02 11:00:00,1,1,INDOOR,1454,0
2025-03-02 12:00:00,2,2,INDOOR,1907,20
2025-03-02 12:00:00,1,1,INDOOR,1898,20
2025-03-02 13:00:00,1,1,INDOOR,1607,20
2025-03-02 13:00:00,2,2,INDOOR,1612,20
2025-03-02 14:00:00,2,2,INDOOR,1657,20
2025-03-02 14:00:00,1,1,INDOOR,1630,20
2025-03-02 15:00:00,1,1,INDOOR,1656,20
2025-03-02 15:00:00,2,2,INDOOR,1632,20
2025-03-02 16:00:00,2,2,INDOOR,1356,0
2025-03-02 16:00:00,1,1,INDOOR,1337,0
2025-03-02 17:00:00,2,2,INDOOR,1406,0
2025-03-02 17:00:00,1,1,INDOOR,1367,0
2025-03-03 05:00:00,2,2,INDOOR,2868,100
2025-03-03 05:00:00,1,1,INDOOR,2877,100
2025-03-03 06:00:00,1,1,INDOOR,1904,20
2025-03-03 06:00:00,2,2,INDOOR,1922,20
2025-03-03 07:00:00,2,2,INDOOR,1604,20
2025-03-03 07:00:00,1,1,INDOOR,1596,20
2025-03-03 08:00:00,1,1,INDOOR,1654,20
2025-03-03 08:00:00,2,2,INDOOR,1629,20
2025-03-03 09:00:00,2,2,INDOOR,1738,20
2025-03-03 09:00:00,1,1,INDOOR,1694,20
2025-03-03 10:00:00,2,2,INDOOR,1438,0
2025-03-03 10:00:00,1,1,INDOOR,1455,0
2025-03-03 11:00:00,2,2,INDOOR,1488,0
2025-03-03 11:00:00,1,1,INDOOR,1441,0
2025-03-03 12:00:00,2,2,INDOOR,1732,20
2025-03-03 12:00:00,1,1,INDOOR,1710,20
2025-03-03 13:00:00,2,2,INDOOR,1432,0
2025-03-03 13:00:00,1,1,INDOOR,1457,0
2025-03-03 14:00:00,1,1,INDOOR,1482,0
2025-03-03 14:00:00,2,2,INDOOR,1467,0
2025-03-03 15:00:00,2,2,INDOOR,1710,20
2025-03-03 15:00:00,1,1,INDOOR,1718,20
2025-03-03 16:00:00,1,1,INDOOR,1410,0
2025-03-03 16:00:00,2,2,INDOOR,1446,0
2025-03-03 17:00:00,1,1,INDOOR,1460,0
2025-03-03 17:00:00,2,2,INDOOR,1477,0
2025-03-04 05:00:00,2,2,INDOOR,2982,100
2025-03-04 05:00:00,1,1,INDOOR,2981,100
2025-03-04 06:00:00,2,2,INDOOR,1426,0
2025-03-04 06:00:00,1,1,INDOOR,1408,0
2025-03-04 07:00:00,2,2,INDOOR,1476,0
2025-03-04 07:00:00,1,1,INDOOR,1496,0
2025-03-04 08:00:00,2,2,INDOOR,1788,20
2025-03-04 08:00:00,1,1,INDOOR,1813,20
2025-03-04 09:00:00,1,1,INDOOR,1488,0
2025-03-04 09:00:00,2,2,INDOOR,1506,20
2025-03-04 10:00:00,2,2,INDOOR,1538,20
2025-03-04 10:00:00,1,1,INDOOR,1502,20
2025-03-04 11:00:00,1,1,INDOOR,1674,20
2025-03-04 11:00:00,2,2,INDOOR,1703,20
2025-03-04 12:00:00,2,2,INDOOR,1374,0
2025-03-04 12:00:00,1,1,INDOOR,1401,0
2025-03-04 13:00:00,2,2,INDOOR,1424,0
2025-03-04 13:00:00,1,1,INDOOR,1415,0
2025-03-04 14:00:00,1,1,INDOOR,1474,0
2025-03-04 14:00:00,2,2,INDOOR,1437,0
2025-03-04 15:00:00,1,1,INDOOR,1752,20
2025-03-04 15:00:00,2,2,INDOOR,1739,20
2025-03-04 16:00:00,2,2,INDOOR,1452,0
2025-03-04 16:00:00,1,1,INDOOR,1405,0
2025-03-04 17:00:00,2,2,INDOOR,1502,20
2025-03-04 17:00:00,1,1,INDOOR,1512,20
2025-03-05 05:00:00,1,1,INDOOR,2498,50
2025-03-05 05:00:00,2,2,INDOOR,2527,100
2025-03-05 06:00:00,1,1,INDOOR,1390,0
2025-03-05 06:00:00,2,2,INDOOR,1436,0
2025-03-05 07:00:00,1,1,INDOOR,1440,0
2025-03-05 07:00:00,2,2,INDOOR,1413,0
2025-03-05 08:00:00,2,2,INDOOR,1490,0
2025-03-05 08:00:00,1,1,INDOOR,1487,0
2025-03-05 09:00:00,2,2,INDOOR,1065,0
2025-03-05 09:00:00,1,1,INDOOR,1108,0
2025-03-05 10:00:00,1,1,INDOOR,1762,20
2025-03-05 10:00:00,2,2,INDOOR,1741,20
2025-03-05 11:00:00,1,1,INDOOR,1462,0
2025-03-05 11:00:00,2,2,INDOOR,1487,0
2025-03-05 12:00:00,1,1,INDOOR,1512,20
2025-03-05 12:00:00,2,2,INDOOR,1466,0
2025-03-05 13:00:00,1,1,INDOOR,1724,20
2025-03-05 13:00:00,2,2,INDOOR,1738,20
2025-03-05 14:00:00,1,1,INDOOR,1424,0
2025-03-05 14:00:00,2,2,INDOOR,1412,0
2025-03-05 15:00:00,2,2,INDOOR,1474,0
2025-03-05 15:00:00,1,1,INDOOR,1430,0
2025-03-05 16:00:00,2,2,INDOOR,1610,20
2025-03-05 16:00:00,1,1,INDOOR,1638,20
2025-03-05 17:00:00,2,2,INDOOR,1310,0
2025-03-05 17:00:00,1,1,INDOOR,1278,0
2025-03-06 05:00:00,2,2,INDOOR,3059,100
2025-03-06 05:00:00,1,1,INDOOR,3053,100
